id,title,content
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,Tốt
,Cực kì hài lòng,"Giày đẹp đúng hàng thật nha ae 
Tặng đôi vớ nhìn xịn xò *** 
Shipper thì oke 
Tui mở đầu mua shop cx gáng coi thử ai ngờ chất lượng quá oke ae mua ủng hộ shop nhá"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,Tốt
,Cực kì hài lòng,"Giày đẹp đúng hàng thật nha ae 
Tặng đôi vớ nhìn xịn xò *** 
Shipper thì oke 
Tui mở đầu mua shop cx gáng coi thử ai ngờ chất lượng quá oke ae mua ủng hộ shop nhá"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,"Giày đẹp da mềm đế khâu sẵn chắc chắn, mang vào cảm giác sang xịn cao hơn hẵn, giá thành lại rẻ cho 1 đôi giày đầy chất lượng"
,Cực kì hài lòng,"Giày đẹp da mềm đế khâu sẵn chắc chắn, mang vào cảm giác sang xịn cao hơn hẵn, giá thành lại rẻ cho 1 đôi giày đầy chất lượng"
