id,title,content
,Cực kì hài lòng,"Tôi sẽ ủng hộ shop này nhiều nữa vì chất lượng thì khỏi bàn, đặc biệt là thái độ và cách thức phục vụ của shop cực kì chuyên nghiệp. Mình mua đôi giày size 42 khá to so với chân của mình nên đã đề nghị shop đổi xuống size 41. Ngay 1-2 ngày sau đã thấy đổi được đôi mới. Đã thế shop còn hỗ trợ phí ship 1 chiều cho mình. Thực sự thích shop này!"
,Cực kì hài lòng,Đây là lần t2 mh quay lại mua giày bên shop .giày bên shop da rất đẹp. Bền mà đi ko bị cấn chân...tuyệt vời 💯💯💯💯💯
,Cực kì hài lòng,Giày quá đẹp. Cám ơn shop
,Cực kì hài lòng,Giày và thắt lưng đúng như hình quảng cao sản phẩm! Còn được tặng bộ dụng cụ đánh giày! Cảm ơn shop!
,Cực kì hài lòng,"Giày đẹp êm chân, rất đáng với số tiền bỏ ra."
,Cực kì hài lòng,"Tôi sẽ ủng hộ shop này nhiều nữa vì chất lượng thì khỏi bàn, đặc biệt là thái độ và cách thức phục vụ của shop cực kì chuyên nghiệp. Mình mua đôi giày size 42 khá to so với chân của mình nên đã đề nghị shop đổi xuống size 41. Ngay 1-2 ngày sau đã thấy đổi được đôi mới. Đã thế shop còn hỗ trợ phí ship 1 chiều cho mình. Thực sự thích shop này!"
,Cực kì hài lòng,Đây là lần t2 mh quay lại mua giày bên shop .giày bên shop da rất đẹp. Bền mà đi ko bị cấn chân...tuyệt vời 💯💯💯💯💯
,Cực kì hài lòng,Giày quá đẹp. Cám ơn shop
,Cực kì hài lòng,Giày và thắt lưng đúng như hình quảng cao sản phẩm! Còn được tặng bộ dụng cụ đánh giày! Cảm ơn shop!
,Cực kì hài lòng,"Giày đẹp êm chân, rất đáng với số tiền bỏ ra."
,Cực kì hài lòng,"Form đẹp, êm chân, giao hàng nhanh và đủ bộ kit vệ sinh. Tuy nhiên mình đi thử 1 vài bước thì thấy dấu hiệu bị nhăn như hình 4. Ncl phù hợp giá tiền"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,Giày đẹp. 5*. Nhưng miếng lót giày phải bị lẹm 1 góc to nên trừ 1*
,Bình thường,Không như mong đợi. Giao hàng nhan
,Cực kì hài lòng,"Form đẹp, êm chân, giao hàng nhanh và đủ bộ kit vệ sinh. Tuy nhiên mình đi thử 1 vài bước thì thấy dấu hiệu bị nhăn như hình 4. Ncl phù hợp giá tiền"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,Giày đẹp. 5*. Nhưng miếng lót giày phải bị lẹm 1 góc to nên trừ 1*
,Bình thường,Không như mong đợi. Giao hàng nhan
,Cực kì hài lòng,"Cảm nhận ban đầu: Rất hài lòng với ngoại quan của sản phẩm, nhìn không khác gì đôi giày Italy tôi đang đi. Da bò thật và đế cao su đúc hy vọng sẽ bền bỉ. 
Shop đóng gói rất chu đáo, trong hộp gồm có: Đôi giày, 1 hộp xi, 1 bàn chải lông, 1 miếng kê gót khi mang giày, 1 khăn cotton cùng phiếu bảo hành và phiếu giảm giá lần sau. SP rất hợp mua làm quà tặng các bạn nhé."
,Cực kì hài lòng,"Đóng gói, mẫu mã, phụ kiện và thẻ bảo hành thì ok, chất lượng da cũng tốt, chỉ không thấy tem mác ghi model, shop cho hỏi làm sao xác định được mình có nhận được đúng loại mình đặt mua hay không?"
