id,title,content
,Rất không hài lòng,Gửi hàng không đúng size.
,Rất không hài lòng,Gửi hàng không đúng size.
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,
,Rất không hài lòng,"Giày rất đẹp đúng như ảnh, đeo êm thoáng mát rất thoải mái mọi người nên mua"
,Rất không hài lòng,"đóng gói tệ ,ko trân trọng sản phẩm"
,Cực kì hài lòng,
,Cực kì hài lòng,tốt
,Rất không hài lòng,"Giày rất đẹp đúng như ảnh, đeo êm thoáng mát rất thoải mái mọi người nên mua"
,Rất không hài lòng,"đóng gói tệ ,ko trân trọng sản phẩm"
,Cực kì hài lòng,
,Cực kì hài lòng,tốt
,Cực kì hài lòng,Ok
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Rất không hài lòng,Mới mua Sức Keo rồi mua đc Hai ngày
,Cực kì hài lòng,Ok
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Rất không hài lòng,Mới mua Sức Keo rồi mua đc Hai ngày
,Hài lòng,
,Hài lòng,
,Rất không hài lòng,"Giày rất đẹp đúng như ảnh, đeo êm thoáng mát rất thoải mái mọi người nên mua"
,Rất không hài lòng,"đóng gói tệ ,ko trân trọng sản phẩm"
,Cực kì hài lòng,
,Cực kì hài lòng,tốt
,Rất không hài lòng,"Giày rất đẹp đúng như ảnh, đeo êm thoáng mát rất thoải mái mọi người nên mua"
,Rất không hài lòng,"đóng gói tệ ,ko trân trọng sản phẩm"
,Cực kì hài lòng,
,Cực kì hài lòng,tốt
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,
,Rất không hài lòng,Gửi hàng không đúng size.
,Rất không hài lòng,Gửi hàng không đúng size.
,Cực kì hài lòng,"Êm chân, kiểu dáng đẹp"
,Hài lòng,"Kiểu dáng được, nhưng đây là hàng trung quốc ko phải xuất xứ việt nam như mô tả. Với giá tiền bán là giá trị thật của sản phẩm chứ ko phải là hàng giá trị 1trieu sau đó giảm giá. Cảm giác mang ko được êm chân cho lắm khi đi lại"
,Hài lòng,đẹp
,Cực kì hài lòng,"Êm chân, kiểu dáng đẹp"
,Hài lòng,"Kiểu dáng được, nhưng đây là hàng trung quốc ko phải xuất xứ việt nam như mô tả. Với giá tiền bán là giá trị thật của sản phẩm chứ ko phải là hàng giá trị 1trieu sau đó giảm giá. Cảm giác mang ko được êm chân cho lắm khi đi lại"
,Hài lòng,đẹp
,Cực kì hài lòng,Ok
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Rất không hài lòng,Mới mua Sức Keo rồi mua đc Hai ngày
,Cực kì hài lòng,Ok
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Rất không hài lòng,Mới mua Sức Keo rồi mua đc Hai ngày
,Hài lòng,
,Hài lòng,
,Rất không hài lòng,Gửi hàng không đúng size.
,Rất không hài lòng,Gửi hàng không đúng size.
,Hài lòng,
,Hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,
,Hài lòng,
,Hài lòng,
,Cực kì hài lòng,Ok
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Rất không hài lòng,Mới mua Sức Keo rồi mua đc Hai ngày
,Cực kì hài lòng,Ok
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,
,Rất không hài lòng,Mới mua Sức Keo rồi mua đc Hai ngày
,Không hài lòng,Không đúng sản phẩm giày đã củ
,Cực kì hài lòng,
,Không hài lòng,Không đúng sản phẩm giày đã củ
,Cực kì hài lòng,
,Rất không hài lòng,Dày sấu gửi sai màu không đúng size
,Hài lòng,"Kiểu đẹp  ôm chân,..........,..."
,Rất không hài lòng,Dày sấu gửi sai màu không đúng size
,Hài lòng,"Kiểu đẹp  ôm chân,..........,..."
,Cực kì hài lòng,Thích lắm. Giá hợp lý
,Cực kì hài lòng,Thích lắm. Giá hợp lý
,Cực kì hài lòng,
,Cực kì hài lòng,
